Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area,Log_cases,Log_deaths,Label
Lebanon,1231840,,10828,,1087587.0,,133425.0,74.0,184273.0,1620.0,4795578.0,717380.0,6684849.0,Asia,14.024019544511876,9.289890650734192,2
Costa Rica,1199055,,9214,,860711.0,,329130.0,52.0,231373.0,1778.0,4659757.0,899158.0,5182354.0,North America,13.997044304517216,9.128479345495862,2
Bolivia,1193009,,22365,,1157640.0,,13004.0,220.0,99478.0,1865.0,2705422.0,225590.0,11992656.0,South America,13.991989245058303,10.015252515866948,2
Tunisia,1150962,,29331,,,,,44.0,95542.0,2435.0,5002248.0,415240.0,12046656.0,Africa,13.956108672389254,10.286400256173781,2
Cuba,1112598,,8530,,1103977.0,,91.0,2.0,98411.0,754.0,14317478.0,1266400.0,11305652.0,North America,13.922208379030486,9.051344640485725,2
Ecuador,1056578,,36008,,1020570.0,,0.0,759.0,58331.0,1988.0,3082403.0,170173.0,18113361.0,South America,13.870545941992647,10.491496414972769,2
UAE,1052029,31.0,2349,,1035173.0,,14507.0,,104349.0,233.0,199225612.0,19760946.0,10081785.0,Asia,13.866231238439767,7.761744984658913,1
Uruguay,1034303,,7617,,1026186.0,,500.0,18.0,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,13.849238327874112,8.938137870372788,2
Panama,1031273,,8604,,1022299.0,,370.0,16.0,231905.0,1935.0,7532271.0,1693801.0,4446964.0,North America,13.846304519412621,9.05998249038762,2
Mongolia,1007896,,2179,,1005711.0,,6.0,192.0,298364.0,645.0,4030048.0,1193000.0,3378078.0,Asia,13.82337554768741,7.68662133494462,1
Nepal,1001148,3.0,12020,,989117.0,,11.0,,33123.0,398.0,6013666.0,198959.0,30225582.0,Asia,13.816657899516159,9.394327208089198,2
Belarus,994037,,7118,,985592.0,,1327.0,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,13.80952970828598,8.870382066070137,2
Latvia,976031,32.0,6242,1.0,969467.0,32.0,322.0,13.0,527916.0,3376.0,7864859.0,4253949.0,1848837.0,Europe,13.7912496271859,8.739055922830724,2
Saudi Arabia,829478,,9615,,816729.0,,3134.0,34.0,23141.0,268.0,45144125.0,1259429.0,35844909.0,Asia,13.628551866259716,9.17107965802288,2
Azerbaijan,828588,40.0,10119,,818310.0,29.0,159.0,,80444.0,982.0,7526899.0,730752.0,10300205.0,Asia,13.627478326261338,9.222170123729759,2
Paraguay,808327,,19870,,,,,7.0,110641.0,2720.0,2657506.0,363751.0,7305843.0,South America,13.60272195860337,9.896966335545862,2
Bahrain,707480,,1548,,706013.0,,-81.0,6.0,396573.0,868.0,10737695.0,6018945.0,1783983.0,Asia,13.46946463954873,7.344719054149673,1
Sri Lanka,672030,,16830,,655198.0,,2.0,,31147.0,780.0,6486117.0,300619.0,21575842.0,Asia,13.418058261365967,9.730918287184851,2
Kuwait,663456,,2570,,660237.0,,649.0,,151463.0,587.0,8455743.0,1930391.0,4380326.0,Asia,13.405217815559231,7.851661177889265,1
Dominican Republic,660533,,4384,,644785.0,,11364.0,4.0,59742.0,397.0,3740928.0,338350.0,11056370.0,North America,13.400802363846337,8.385716828627851,1
Cyprus,649093,,1305,,642855.0,,4933.0,60.0,530570.0,1067.0,9640118.0,7879860.0,1223387.0,Asia,13.383331282800723,7.173958319756794,1
Myanmar,633918,,19490,,614399.0,,29.0,,11478.0,353.0,10053350.0,182036.0,55227143.0,Asia,13.35967488751511,9.877656792501606,2
Palestine,621008,,5404,,615445.0,,159.0,17.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,13.339099243280303,8.59489469908009,1
Estonia,615119,,2940,,524990.0,,87189.0,3.0,465326.0,2224.0,3675293.0,2780290.0,1321910.0,Europe,13.32957102400569,7.986164860332727,1
Moldova,607450,3700.0,11988,14.0,504142.0,,91320.0,49.0,151364.0,2987.0,3216305.0,801437.0,4013171.0,Europe,13.317025146282889,9.391661428436555,2
Venezuela,551981,,5853,,545871.0,,257.0,36.0,18860.0,200.0,3359014.0,114771.0,29266991.0,South America,13.221268904376986,8.67470962929122,1
Egypt,515698,,24613,,442182.0,,48903.0,122.0,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,13.153276601807756,10.111030037621687,2
Libya,507174,,6437,,500734.0,,3.0,,72034.0,914.0,2483676.0,352758.0,7040745.0,Africa,13.136609418961568,8.769817872052617,1
China,503302,,5272,,379053.0,,118977.0,,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia,13.128945666529653,8.570165076182343,1
Ethiopia,499986,,7572,,487246.0,,5168.0,1.0,4139.0,63.0,5488633.0,45431.0,120812698.0,Africa,13.122335377012321,8.932212512329214,1
Qatar,494271,104.0,686,,493138.0,122.0,447.0,30.0,165867.0,230.0,4065369.0,1364257.0,2979915.0,Asia,13.110839228749368,6.530877627725885,1
Réunion,486588,,921,,418572.0,,67095.0,10.0,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,13.09517304811502,6.825460036255307,1
Honduras,472116,,11111,,,,,105.0,46190.0,1087.0,1633222.0,159787.0,10221247.0,North America,13.06497999708485,9.315690887584008,1
Armenia,446819,,8721,,435162.0,,2936.0,,150345.0,2934.0,3242901.0,1091164.0,2971966.0,Asia,13.009908869892554,9.073489189226986,1
Bosnia and Herzegovina,401575,,16278,,379084.0,,6213.0,,123588.0,5010.0,1884721.0,580036.0,3249317.0,Europe,12.903149594425967,9.697569781886987,2
Oman,399449,,4628,,384669.0,,10152.0,2.0,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,12.897841376464822,8.439880088313567,1
North Macedonia,346852,,9662,,337068.0,,122.0,,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe,12.756653454978169,9.175955945114351,1
Zambia,343012,,4057,,338660.0,,295.0,,17617.0,208.0,3934010.0,202053.0,19470234.0,Africa,12.745520710958841,8.308199063206446,1
Kenya,342912,,5688,,337198.0,,26.0,1.0,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa,12.745229133464226,8.646113971483077,1
Albania,334391,,3596,,329145.0,,1650.0,,116660.0,1255.0,1941032.0,677173.0,2866374.0,Europe,12.7200662459549,8.18757739559151,1
Botswana,329727,,2801,,326868.0,,58.0,1.0,135070.0,1147.0,2026898.0,830300.0,2441162.0,Africa,12.706020318336467,7.937731775260109,1
Luxembourg,297757,,1133,,288991.0,,7633.0,,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,12.60403299659695,7.0326242610280065,1
Montenegro,288280,,2804,,284712.0,,764.0,6.0,459081.0,4465.0,2716902.0,4326622.0,627950.0,Europe,12.571687509038377,7.938802248154481,1
Brunei,277992,,225,,243601.0,,34166.0,3.0,624097.0,505.0,717784.0,1611437.0,445431.0,Asia,12.535347615280292,5.41610040220442,1
Algeria,271441,,6881,,182793.0,,81767.0,,5985.0,152.0,230861.0,5091.0,45350148.0,Africa,12.511500083506734,8.83651926920248,1
Nigeria,266593,,3155,,259850.0,,3588.0,11.0,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa,12.493478429817895,8.056743774975313,1
Zimbabwe,263921,,5663,,257205.0,,1053.0,12.0,17214.0,369.0,2525756.0,164744.0,15331428.0,Africa,12.483405094922263,8.641709066113805,1
Uzbekistan,250932,,1637,,241486.0,,7809.0,23.0,7298.0,48.0,1377915.0,40077.0,34382084.0,Asia,12.4329372650748,7.400620577371135,1
Mozambique,233098,,2242,,228805.0,,2051.0,11.0,7044.0,68.0,1371127.0,41437.0,33089461.0,Africa,12.35921424497846,7.715123603632105,1
Martinique,229807,,1098,,,,,12.0,614314.0,2935.0,828928.0,2215870.0,374087.0,North America,12.344995105203527,7.001245622069476,1
Laos,218015,,758,,,,,,29142.0,101.0,1233207.0,164845.0,7481023.0,Asia,12.292319146743559,6.630683385642372,1
Afghanistan,209340,17.0,7896,,191053.0,42.0,10391.0,45.0,5137.0,194.0,1201044.0,29470.0,40754388.0,Asia,12.251715003408874,8.974111581113318,1
Iceland,209093,,229,,,,,2.0,605377.0,663.0,1996384.0,5780036.0,345393.0,Europe,12.250534408051008,5.43372200355424,1
Kyrgyzstan,206633,,2991,,196406.0,,7236.0,131.0,30711.0,445.0,1907195.0,283460.0,6728271.0,Asia,12.238699551857186,8.003363058629947,1
Guadeloupe,201852,,1010,,,,,19.0,504890.0,2526.0,938039.0,2346306.0,399794.0,North America,12.215290034579782,6.917705609835305,1
